ID,DOLLAR_ID,PE_INTERFACE,PE_IP,PE_HOSTNAME,DISTRICTID,EXCHANGENAME,VENDORID,NOOR_SUB,ETISILAT_SUB,ORANGE_SUB,VODA_SUB,BITSTREAM_DATA_SUB,WE_DATA_SUB,TOTAL_VOICE_SUB,REGIONID,SECTOR,LAT,LONG,HOSTNAME,MSANCODE,SECTOR_ARABIC,REGION_NAME,SECTORID,SHELF,TEDATAIP,TE_IP,,NODENAME,ROWVERSION,HASERRORS,INSERTION,CAPACITY,,VIC
2311420,465342335,AE4,10.45.23.82,MAADI2-R03J-C-EG,THE THIRD REGION WEST,MAADI2...C,HUAWEI_GPON,0,46,55,133,234,529,893,6,2,29.95538,31.27623,MADI2C70-M01H-C-EG,02-3-28-70,قطاع غرب القاهرة,المنطقة الثالثة غرب,EGYPT - WEST CAIRO,1,10.41.69.34,10.237.135.202,,02-3-28-70_M01H_MAADI2_R01J,2026-01-25-11.28.54.000000,0,2026-06-01-06.18.34.632912,,,NO
2311421,465342336,GE-0/3/1,10.45.1.9,DKERNES-R02J-DK-EG,THE SECOND AREA OF ​​DAKAHLIA,DEKERNES...DK,HUAWEI_GPON,0,8,5,77,90,236,356,46,7,31.09122,31.63063,DKRNSC27-M01H-DK-EG,07-2-11-27,قطاع شرق الدلتا 1,المنطقة الثانية الدقهلية,EGYPT - EAST DELTA,1,10.41.94.154,10.238.240.42,,07-2-11-27_M01H_DKERNES_R02J,2024-05-22-04.37.00.000000,0,2026-06-01-06.18.34.632912,,,NO
2311422,465342337,GE-0/3/2,10.45.1.9,DKERNES-R02J-DK-EG,THE SECOND AREA OF ​​DAKAHLIA,DEKERNES...DK,HUAWEI_GPON,0,10,0,48,58,236,310,46,7,31.08807,31.62782,DKRNSC28-M01H-DK-EG,07-2-11-28,قطاع شرق الدلتا 1,المنطقة الثانية الدقهلية,EGYPT - EAST DELTA,1,10.41.94.162,10.238.240.50,,07-2-11-28_M01H_DKERNES_R02J,2024-07-18-00.30.27.000000,0,2026-06-01-06.18.34.632912,,,NO
2311423,465342338,GE-0/3/2,10.45.0.139,ZEFTAH-R02J-GH-EG,GHARBIYA PHONE AREA 2,ZEFTAH...GH,HUAWEI_GPON,0,5,2,9,16,81,106,51,8,30.69893,31.24717,ZEFTHC22-M01H-GH-EG,08-1-18-22,قطاع وسط الدلتا,منطقة تليفونات الغربية 2,EGYPT - MIDDLE DELTA,1,10.41.88.218,10.239.236.234,,08-1-18-22_M01H_ZEFTAH_R02J,2026-05-20-12.16.07.000000,0,2026-06-01-06.18.34.632912,,,NO
2311424,465342339,GE-0/3/3,10.45.1.9,DKERNES-R02J-DK-EG,THE SECOND AREA OF ​​DAKAHLIA,DEKERNES...DK,HUAWEI_GPON,0,5,1,59,65,205,281,46,7,31.08913,31.62884,DKRNSC29-M01H-DK-EG,07-2-11-29,قطاع شرق الدلتا 1,المنطقة الثانية الدقهلية,EGYPT - EAST DELTA,1,10.41.94.170,10.238.240.58,,07-2-11-29_M01H_DKERNES_R02J,2025-02-26-14.21.58.000000,0,2026-06-01-06.18.34.632912,,,NO
2311425,465342340,GE-0/3/6,10.45.1.9,DKERNES-R02J-DK-EG,THE SECOND AREA OF ​​DAKAHLIA,DEKERNES...DK,HUAWEI_GPON,0,5,2,22,29,126,165,46,7,31.08672,31.63308,DKRNSC30-M01H-DK-EG,07-2-11-30,قطاع شرق الدلتا 1,المنطقة الثانية الدقهلية,EGYPT - EAST DELTA,1,10.41.94.178,10.238.240.66,,07-2-11-30_M01H_DKERNES_R02J,2024-05-22-04.22.34.000000,0,2026-06-01-06.18.34.632912,,,NO
2311426,465342341,GE-1/1/2,10.45.1.9,DKERNES-R02J-DK-EG,THE SECOND AREA OF ​​DAKAHLIA,DEKERNES...DK,HUAWEI_GPON,0,5,0,14,19,103,128,46,7,31.08409,31.62793,DKRNSC31-M01H-DK-EG,07-2-11-31,قطاع شرق الدلتا 1,المنطقة الثانية الدقهلية,EGYPT - EAST DELTA,1,10.41.94.186,10.238.240.74,,07-2-11-31_M01H_DKERNES_R02J,2024-05-22-04.11.48.000000,0,2026-06-01-06.18.34.632912,,,NO
2311427,465342342,GE-1/1/3,10.45.1.9,DKERNES-R02J-DK-EG,THE SECOND AREA OF ​​DAKAHLIA,DEKERNES...DK,HUAWEI_GPON,0,5,3,40,48,163,225,46,7,31.08606,31.62243,DKRNSC32-M01H-DK-EG,07-2-11-32,قطاع شرق الدلتا 1,المنطقة الثانية الدقهلية,EGYPT - EAST DELTA,1,10.41.94.194,10.238.240.82,,07-2-11-32_M01H_DKERNES_R02J,2024-05-22-04.33.25.000000,0,2026-06-01-06.18.34.632912,,,NO
2311428,465342343,GE-0/3/1,10.45.0.139,ZEFTAH-R02J-GH-EG,GHARBIYA PHONE AREA 2,ZEFTAH...GH,HUAWEI_GPON,0,10,6,13,29,137,459,51,8,30.70432,31.24353,ZEFTHC21-M01H-GH-EG,08-1-18-21,قطاع وسط الدلتا,منطقة تليفونات الغربية 2,EGYPT - MIDDLE DELTA,1,10.41.88.210,10.239.236.226,,08-1-18-21_M01H_ZEFTAH_R02J,2026-03-26-10.02.38.000000,0,2026-06-01-06.18.34.632912,,,NO
2311429,465342344,GE-0/2/2,10.45.0.139,ZEFTAH-R02J-GH-EG,GHARBIYA PHONE AREA 2,ZEFTAH...GH,HUAWEI_GPON,0,0,0,0,0,2,4,51,8,30.69459,31.25861,ZEFTHC12-M01H-GH-EG,08-1-18-12,قطاع وسط الدلتا,منطقة تليفونات الغربية 2,EGYPT - MIDDLE DELTA,1,10.41.88.138,10.239.236.154,,08-1-18-12_M01H_ZEFTAH_R02J,2024-05-22-04.39.29.000000,0,2026-06-01-06.18.34.632912,,,NO
2311430,465342345,GE-1/1/3,10.45.24.33,ARISH-R05J-SIN-EG,NORTH SINAI PHONE AREA,ARISH...SIN,HUAWEI_GPON,0,0,0,0,0,0,0,38,13,31.13432,33.78093,ARISHC40-M01H-SIN-EG,13-2-16-40,الاسماعيلية وشمال سيناء,منطقة تليفونات شمال سيناء,EGYPT - ISMAILIA & NORTH SINIA,1,10.41.94.210,10.237.252.90,,13-2-16-40_M01H_ARISH_R02J,2025-06-29-12.10.06.000000,0,2026-06-01-06.18.34.632912,,,NO
2311431,465342346,GE-0/0/8,10.45.24.33,ARISH-R05J-SIN-EG,NORTH SINAI PHONE AREA,ARISH...SIN,HUAWEI_GPON,0,3,31,0,34,205,254,38,13,31.13133,33.78261,ARISHC43-M01H-SIN-EG,13-2-16-43,الاسماعيلية وشمال سيناء,منطقة تليفونات شمال سيناء,EGYPT - ISMAILIA & NORTH SINIA,1,10.41.94.226,10.237.252.114,,13-2-16-43_M01H_ARISH_R02J,2026-05-11-13.37.39.000000,0,2026-06-01-06.18.34.632912,,,NO
2311432,465342347,GE-0/1/7,10.45.24.32,ARISH-R04J-SIN-EG,NORTH SINAI PHONE AREA,ARISH...SIN,HUAWEI_GPON,0,0,23,4,27,130,163,38,13,31.12138,33.77665,ARISHC45-M01H-SIN-EG,13-2-16-45,الاسماعيلية وشمال سيناء,منطقة تليفونات شمال سيناء,EGYPT - ISMAILIA & NORTH SINIA,1,10.41.94.242,10.237.252.130,,13-2-16-45_M01H_ARISH_R02J,2025-06-10-11.52.16.000000,0,2026-06-01-06.18.34.632912,,,NO
2311433,465342348,AE9,10.45.4.220,SHEBLNG-R01J-KB-EG,QALUBIA PHONE AREA,SHEBLANGAH...KB,HUAWEI_GPON,0,26,13,132,171,583,816,23,15,30.45739,31.25761,SHBLGC6-M01H-KB-EG,08-3-201-06,قطاع شرق الدلتا 2,منطقة تليفونات القليوبية,EGYPT - EAST DELTA2,1,10.41.22.122,10.237.144.90,,08-3-201-06_M01H_SHEBLNG_R01J,2026-04-06-13.16.52.000000,0,2026-06-01-06.18.34.632912,,,NO
2311434,465342349,AE2,10.45.4.220,SHEBLNG-R01J-KB-EG,QALUBIA PHONE AREA,SHEBLANGAH...KB,HUAWEI_GPON,0,7,11,22,40,335,446,23,15,30.47167,31.25716,SHBLGC8-M02H-KB-EG,08-3-201-08,قطاع شرق الدلتا 2,منطقة تليفونات القليوبية,EGYPT - EAST DELTA2,2,10.41.22.139,10.237.144.107,,08-3-201-08_M02H_SHEBLNG_R01J,2026-04-26-10.15.32.000000,0,2026-06-01-06.18.34.632912,,,NO
2311435,465342350,AE2,10.45.4.220,SHEBLNG-R01J-KB-EG,QALUBIA PHONE AREA,SHEBLANGAH...KB,HUAWEI_GPON,0,38,68,86,192,699,957,23,15,30.47167,31.25716,SHBLGC8-M01H-KB-EG,08-3-201-08,قطاع شرق الدلتا 2,منطقة تليفونات القليوبية,EGYPT - EAST DELTA2,1,10.41.22.138,10.237.144.106,,08-3-201-08_M01H_SHEBLNG_R01J,2026-04-26-10.06.39.000000,0,2026-06-01-06.18.34.632912,,,NO
2311436,465342351,AE1,10.45.19.138,BNHAWST-R04J-KB-EG,QALUBIA PHONE AREA,DEGWI...KB,HUAWEI_GPON,0,31,12,163,206,442,702,23,15,30.38258,31.11651,BNHAWC19-M01H-KB-EG,08-3-36-19,قطاع شرق الدلتا 2,منطقة تليفونات القليوبية,EGYPT - EAST DELTA2,1,10.41.88.74,10.238.144.90,,08-3-36-19_M01H_BNHAWST_R02J,2024-12-09-14.07.29.000000,0,2026-06-01-06.18.34.632912,,,NO
2311437,465342352,AE28,10.45.19.137,BNHAWST-R03J-KB-EG,QALUBIA PHONE AREA,DEGWI...KB,HUAWEI_GPON,0,46,12,122,180,691,1006,23,15,30.40223,31.13888,BNHWC21-M01H-KB-EG,08-3-36-21,قطاع شرق الدلتا 2,منطقة تليفونات القليوبية,EGYPT - EAST DELTA2,1,10.41.88.90,10.238.144.106,,08-3-36-21_M01H_BNHAWST_R02J,2024-05-22-04.32.39.000000,0,2026-06-01-06.18.34.632912,,,NO
2311438,465342353,GE-0/2/8,10.45.1.47,BNHAWST-R02J-KB-EG,QALUBIA PHONE AREA,DEGWI...KB,HUAWEI_GPON,1,33,22,98,154,582,850,23,15,30.39688,31.13374,BNHAWC22-M01H-KB-EG,08-3-36-22,قطاع شرق الدلتا 2,منطقة تليفونات القليوبية,EGYPT - EAST DELTA2,1,10.41.88.98,10.238.144.114,,08-3-36-22_M01H_BNHAWST_R02J,2025-11-18-13.48.14.000000,0,2026-06-01-06.18.34.632912,,,NO
2311439,465342354,AE25,10.45.19.138,BNHAWST-R04J-KB-EG,QALUBIA PHONE AREA,DEGWI...KB,HUAWEI_GPON,0,49,13,105,167,611,907,23,15,30.4,31.13425,BNHAWC23-M01H-KB-EG,08-3-36-23,قطاع شرق الدلتا 2,منطقة تليفونات القليوبية,EGYPT - EAST DELTA2,1,10.41.88.106,10.238.144.122,,08-3-36-23_M01H_BNHAWST_R02J,2024-05-22-04.16.35.000000,0,2026-06-01-06.18.34.632912,,,NO
2311440,465342355,GE-0/2/8,10.45.2.15,TGMOAWL-R03J-C-EG,"THE FIRST AREA, NEW CAIRO",TAGAMOAELAWAL...C,HUAWEI_GPON,0,2,0,1,3,8,12,7,3,30.0668,31.45565,TGMAWL61-M01H-C-EG,03-1-06-61,قطاع مناطق القاهرة الجديدة,المنطقة الأولى القاهرة الجديدة,EGYPT - NEW CAIRO,1,10.41.92.138,10.237.64.122,,03-1-06-61_M01H_TGMOAWL_R03J,2026-04-26-17.19.45.000000,0,2026-06-01-06.18.34.632912,,,NO
2311441,465342356,GE-0/2/8,10.45.0.139,ZEFTAH-R02J-GH-EG,GHARBIYA PHONE AREA 2,ZEFTAH...GH,HUAWEI_GPON,0,31,9,37,77,529,650,51,8,30.70263,31.24799,ZEFTAH18-M01H-GH-EG,08-1-18-18,قطاع وسط الدلتا,منطقة تليفونات الغربية 2,EGYPT - MIDDLE DELTA,1,10.41.88.186,10.239.236.202,,08-1-18-18_M01H_ZEFTAH_R02J,2026-05-08-06.12.00.000000,0,2026-06-01-06.18.34.632912,,,NO
2311442,465342357,GE-1/1/2,10.45.4.74,BNISUF-R05J-BNS-EG,BENI SUEF PHONE AREA,BENISUEF...BNS,HUAWEI_GPON,0,10,7,38,55,287,404,30,10,29.08052,31.09274,BNISUF73-M01H-BNS-EG,10-2-12-73,قطاع شمال الصعيد,منطقة تليفونات بنى سويف,EGYPT - NORTH UPPER,1,10.41.93.242,10.237.183.194,,10-2-12-73_M01H_BNISUF_R05J,2025-08-31-09.34.57.000000,0,2026-06-01-06.18.34.632912,,,NO
2311443,465342358,GE-1/1/3,10.45.4.74,BNISUF-R05J-BNS-EG,BENI SUEF PHONE AREA,BENISUEF...BNS,HUAWEI_GPON,0,3,2,3,8,98,117,30,10,29.0725,31.08364,BNISUF74-M01H-BNS-EG,10-2-12-74,قطاع شمال الصعيد,منطقة تليفونات بنى سويف,EGYPT - NORTH UPPER,1,10.41.93.250,10.237.183.202,,10-2-12-74_M01H_BNISUF_R05J,2024-10-13-10.35.53.000000,0,2026-06-01-06.18.34.632912,,,NO
2311444,465342359,GE-1/0/7,10.45.4.74,BNISUF-R05J-BNS-EG,BENI SUEF PHONE AREA,BENISUEF...BNS,HUAWEI_GPON,0,4,7,27,38,281,343,30,10,29.07734,31.10215,BNISUF69-M01H-BNS-EG,10-2-12-69,قطاع شمال الصعيد,منطقة تليفونات بنى سويف,EGYPT - NORTH UPPER,1,10.41.93.202,10.237.183.162,,10-2-12-69_M01H_BNISUF_R05J,2024-11-10-12.29.01.000000,0,2026-06-01-06.18.34.632912,,,NO
2311445,465342360,GE-1/0/8,10.45.4.74,BNISUF-R05J-BNS-EG,BENI SUEF PHONE AREA,BENISUEF...BNS,HUAWEI_GPON,0,6,10,41,57,388,475,30,10,29.07087,31.10568,BNISUF70-M01H-BNS-EG,10-2-12-70,قطاع شمال الصعيد,منطقة تليفونات بنى سويف,EGYPT - NORTH UPPER,1,10.41.93.210,10.237.183.170,,10-2-12-70_M01H_BNISUF_R05J,2024-10-13-10.46.53.000000,0,2026-06-01-06.18.34.632912,,,NO
2311446,465342361,GE-0/2/1,10.45.0.139,ZEFTAH-R02J-GH-EG,GHARBIYA PHONE AREA 2,ZEFTAH...GH,HUAWEI_GPON,0,0,0,0,0,0,1,51,8,30.69907,31.25251,ZFTHCB11-M01H-GH-EG,08-1-18-11,قطاع وسط الدلتا,منطقة تليفونات الغربية 2,EGYPT - MIDDLE DELTA,1,10.41.88.130,10.239.236.146,,08-1-18-11_M01H_ZEFTAH_R02J,2026-01-15-15.54.50.000000,0,2026-06-01-06.18.34.632912,,,NO
2311447,465342362,GE-0/2/3,10.45.0.139,ZEFTAH-R02J-GH-EG,GHARBIYA PHONE AREA 2,ZEFTAH...GH,HUAWEI_GPON,1,18,16,38,73,448,551,51,8,30.71443,31.2338,ZFTHCB13-M01H-GH-EG,08-1-18-13,قطاع وسط الدلتا,منطقة تليفونات الغربية 2,EGYPT - MIDDLE DELTA,1,10.41.88.146,10.239.236.162,,08-1-18-13_M01H_ZEFTAH_R02J,2025-10-14-09.41.58.000000,0,2026-06-01-06.18.34.632912,,,NO
