msan_code,msan_hostname,subscribers,average_critical_time(min),average_warning_time(min),reason,latitude,longitude,noor_sub,etisilat_sub,orange_sub,voda_sub,total_voice_sub,bitstream_data_sub,we_data_sub,downstream_list,isp_list,bitstream_count
02-3-27-142,DSLMC142-M01H-C-EG,879,0,118,msan,29.96970000,31.25975000,0.00,39.00,20.00,105.00,879.00,164.00,641.00,-,-,-
07-4-24-850,HSINIA-G01Z-SHR-EG,4246,44,202,msan,30.83791000,31.95312000,0.00,12.00,99.00,122.00,4246.00,233.00,3818.00,512; 2048; 4096,TEData; TEData; TEData,3
13-3-11-800,PTSAID-G01Z-PTS-EG,1224,0,137,msan,31.44755280,31.69486770,0.00,51.00,5.00,30.00,1224.00,86.00,1115.00,-,-,-
07-2-06-905,TALKHA-G01Z-DK-EG,1528,0,40,msan,31.05322100,31.39061900,1.00,67.00,48.00,120.00,1528.00,236.00,1195.00,-,-,-
08-1-05-29,MAHALC29-M01Z-GH-EG,326,0,138,msan,30.97457000,31.19570000,0.00,15.00,50.00,38.00,326.00,103.00,176.00,-,-,-
04-1-01-48,BLKCB48-M01H-GZ-EG,1584,0,41,msan,30.02647000,31.18710000,-,-,-,-,-,-,-,-,-,-
08-2-20-26,SHBNKW26-M01H-MNF-EG,781,0,60,msan,30.56491000,31.01420000,0.00,18.00,9.00,49.00,742.00,76.00,633.00,-,-,-
04-1-01-37,BOLQCB37-M01H-GZ-EG,1465,0,22,msan,30.05361000,31.18733000,-,-,-,-,-,-,-,-,-,-
08-1-02-13,TNT2CB13-M01H-GH-EG,1790,0,22,msan,30.79268000,30.98137000,0.00,41.00,14.00,75.00,917.00,130.00,630.00,-,-,-
04-1-01-13,BOLACB13-M01H-GZ-EG,1538,0,60,msan,30.05006000,31.15784000,-,-,-,-,-,-,-,-,-,-
02-3-26-23,MDI3CB23-M01N-C-EG,864,0,81,msan,29.97536000,31.23716000,0.00,39.00,17.00,64.00,576.00,120.00,398.00,-,-,-
02-1-01-81,QNATRC81-M01Z-C-EG,849,0,18,msan,30.15736000,31.18924000,0.00,26.00,38.00,171.00,849.00,235.00,558.00,-,-,-
04-3-37-65,HARAMC65-M01H-GZ-EG,1832,0,61,msan,30.01043000,31.19040000,-,-,-,-,-,-,-,2048; 5120,NOL; TEData,2
09-3-20-22,MHMDH22-M01H-BH-EG,868,0,60,msan,31.18694000,30.52416000,0.00,20.00,68.00,25.00,868.00,113.00,718.00,-,-,-
02-1-10-37,BAHTMC37-M01H-GZ-EG,1582,0,20,msan,30.15187000,31.27916000,1.00,80.00,86.00,159.00,1023.00,326.00,638.00,-,-,-
07-3-19-111,ZIZGW111-M01H-SHR-EG,1545,0,20,msan,30.59886000,31.51501000,3.00,73.00,60.00,125.00,1024.00,261.00,693.00,-,-,-
05-2-08-01,AW2EXP1-M01H-ALX-EG,1686,0,20,msan,31.24588000,30.00399000,-,-,-,-,-,-,-,-,-,-
02-1-08-94,SHBKC94-M01H-C-EG,1694,0,38,msan,30.13251000,31.26758000,1.00,71.00,115.00,168.00,1018.00,355.00,587.00,-,-,-
07-3-19-93,ZGZGW93-M01H-SHR-EG,741,0,38,msan,30.60133000,31.50474000,35.00,39.00,33.00,99.00,741.00,206.00,491.00,-,-,-
07-2-346-26,MANZC26-M01Z-DK-EG,792,0,60,msan,31.15949000,31.93969000,0.00,26.00,9.00,38.00,792.00,73.00,674.00,-,-,-
07-2-06-08,TALKHAC8-M01H-DK-EG,1647,0,38,msan,31.05811000,31.37971000,1.00,48.00,40.00,102.00,839.00,191.00,591.00,-,-,-
01-1-04-47,NASR3C47-M01H-C-EG,1488,0,141,msan,30.05426000,31.39779000,0.00,9.00,7.00,61.00,834.00,77.00,675.00,-,-,-
10-1-02-17,MNYACB17-M01H-MN-EG,1099,0,38,msan,28.12549000,30.74615000,0.00,17.00,9.00,69.00,851.00,95.00,654.00,-,-,-
04-2-84-07,SFTLBNC7-M01H-GZ-EG,1434,0,60,msan,30.02176000,31.18835000,-,-,-,-,-,-,-,-,-,-
02-1-08-147,SHKMA147-M01H-C-EG,1717,0,59,msan,30.12353000,31.27338000,2.00,51.00,67.00,196.00,1024.00,316.00,616.00,4096; 4096,OrangData; Vodafon,2
08-1-01-42,TNTA1C42-M01H-GH-EG,1542,0,60,msan,30.79335000,31.00835000,4.00,38.00,24.00,125.00,734.00,191.00,514.00,256; 5120,NOOR; OrangData,2
03-1-07-149,REHAB149-M01H-C-EG,486,0,19,msan,30.06305000,31.51438000,-,-,-,-,-,-,-,-,-,-
01-1-02-850,NASR1-G04H-C-EG,1870,0,322,msan,30.05171000,31.33060000,4.00,52.00,67.00,202.00,1870.00,325.00,1320.00,512; 1024; 1024; 2048,TEData; TEData; TEData; TEData,4
02-1-04-48,QALUBC48-M01N-C-EG,785,0,19,msan,30.18021000,31.23029000,0.00,17.00,10.00,102.00,570.00,129.00,406.00,-,-,-
07-1-03-74,MNSORA74-M01Z-DK-EG,759,0,59,msan,31.04820000,31.40781000,1.00,31.00,33.00,42.00,759.00,107.00,599.00,-,-,-
11-2-11-852,ASYUTE-G03Z-AST-EG,2905,0,19,msan,27.19756000,31.18030000,0.00,46.00,23.00,180.00,2905.00,249.00,2545.00,-,-,-
08-1-01-31,TNT1CB31-M01H-GH-EG,1324,0,19,msan,30.79787000,31.00665000,1.00,32.00,21.00,90.00,941.00,144.00,727.00,2048,NOL,1
01-2-09-952,ASHAMS-G01H-C-EG,755,0,19,msan,30.13242470,31.32363150,0.00,9.00,18.00,41.00,755.00,68.00,672.00,-,-,-
04-2-84-105,SFTLB105-M01Z-GZ-EG,936,19,38,msan,30.01476000,31.17842000,-,-,-,-,-,-,-,-,-,-
03-1-03-95,GNBMST95-M01Z-C-EG,536,0,19,msan,30.00701000,31.46261000,-,-,-,-,-,-,-,-,-,-
04-4-33-860,SUKGMLA-G07Z-GZ-EG,1092,0,38,msan,29.90672000,31.05290000,-,-,-,-,-,-,-,-,-,-
04-4-26-22,OCT1CB22-M01H-GZ-EG,1275,0,39,msan,29.96931000,30.95196000,-,-,-,-,-,-,-,-,-,-
01-1-01-42,MNSHNC42-M01H-C-EG,1590,0,41,msan,30.04505000,31.27969000,0.00,17.00,18.00,55.00,886.00,90.00,698.00,-,-,-
04-4-33-58,ZOHOUR58-M01H-GZ-EG,539,0,19,msan,29.93211000,31.04964000,-,-,-,-,-,-,-,-,-,-
03-1-10-86,SHRK2C86-M01H-C-EG,501,0,177,msan,30.13974000,31.64462000,-,-,-,-,-,-,-,-,-,-
04-4-29-957,SHZAYED-G08H-GZ-EG,1096,0,59,msan,30.03321000,31.00179000,-,-,-,-,-,-,-,2048; 2048; 8192; 8192; 8192; 12288; 12288; 16384; 24576; 30720; 34816; 51200; 51200; 51200; 204800; 204800; 307200; 307200; 512000; 512000; 512000; 1048576; 1048576; 1048576; 1048576; 1048576,NOL; NOL; NOL; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; Vodafon; Vodafon; Vodafon; Vodafon; Vodafon; Vodafon; Vodafon,26
03-2-13-107,NZH2C107-M01Z-C-EG,703,0,19,msan,30.12758000,31.37754000,-,-,-,-,-,-,-,-,-,-
03-1-07-151,REHAB151-M01H-C-EG,524,0,18,msan,30.06680000,31.51330000,-,-,-,-,-,-,-,-,-,-
10-1-57-05,ABA5-M01Z-MN-EG,414,0,62,msan,28.57144000,30.82802000,0.00,70.00,7.00,15.00,414.00,92.00,302.00,-,-,-
07-3-212-15,METHBIB-M01H-SHR-EG,679,200,221,mx,30.45252000,31.51548000,0.00,0.00,1.00,4.00,103.00,5.00,90.00,-,-,-
07-3-212-01,SANDANH1-M01H-SHR-EG,330,200,221,mx,30.49843000,31.49573000,0.00,4.00,19.00,32.00,330.00,55.00,248.00,-,-,-
07-3-212-02,SANDANH2-M01H-SHR-EG,87,200,221,mx,30.46664000,31.50078000,0.00,0.00,1.00,7.00,87.00,8.00,71.00,-,-,-
07-3-212-03,SANDANH3-M01H-SHR-EG,194,200,221,mx,30.46857000,31.49101000,0.00,3.00,11.00,34.00,194.00,48.00,141.00,-,-,-
07-3-212-905,SNDNHCB5-M01H-SHR-EG,636,200,221,mx,30.47394000,31.50303000,0.00,3.00,9.00,32.00,197.00,44.00,136.00,34816,TEData,1
07-3-212-10,SNDNHR10-M01H-SHR-EG,57,200,221,mx,30.44850000,31.52341000,0.00,2.00,2.00,8.00,57.00,12.00,38.00,-,-,-
07-3-212-04,SANDANH4-M01H-SHR-EG,245,200,221,mx,30.47672000,31.50500000,0.00,3.00,6.00,33.00,245.00,42.00,187.00,2048,TEData,1
03-1-30-956,MDENTY-G01H-C-EG,3715,142,201,mx,30.08374000,31.64169000,-,-,-,-,-,-,-,-,-,-
03-1-30-957,MDENTY-G04H-C-EG,2028,142,201,mx,30.08374000,31.64169000,-,-,-,-,-,-,-,20480,TEData,1
03-1-30-856,MDENTY-G05H-C-EG,5376,142,201,mx,30.09635000,31.63546000,-,-,-,-,-,-,-,-,-,-
03-1-30-857,MDENTY-G06H-C-EG,2786,142,201,mx,30.10000000,31.64413000,-,-,-,-,-,-,-,-,-,-
03-1-30-864,MDENTY-G07H-C-EG,1842,142,201,mx,30.08021000,31.65282000,-,-,-,-,-,-,-,-,-,-
03-1-30-858,MDENTY-G08H-C-EG,3002,142,201,mx,30.07970000,31.65281000,-,-,-,-,-,-,-,512,TEData,1
03-1-30-862,MDENTY-G13H-C-EG,688,142,201,mx,30.08325000,31.64846000,-,-,-,-,-,-,-,-,-,-
03-1-30-863,MDENTY-G14H-C-EG,1198,142,201,mx,30.08491000,31.64912000,-,-,-,-,-,-,-,-,-,-
03-1-30-900,MDENTYGP-G01H-C-EG,1818,142,201,mx,30.08374000,31.64169000,-,-,-,-,-,-,-,2048; 2048; 2048; 2048; 2048; 4096; 4096; 4096; 4096; 10240; 12288; 12288; 12288; 16384; 16384; 16384; 20480; 24576; 24576; 30720; 34816; 51200; 51200; 51200; 51200; 102400; 102400; 409600; 512000; 512000,NOL; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData,30
03-1-30-902,MDENTYGP-G02H-C-EG,2943,142,201,mx,30.08374000,31.64169000,-,-,-,-,-,-,-,256; 2048; 2048; 2048; 4096; 12288; 24576; 51200; 51200; 51200; 51200; 102400; 204800; 512000,TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData; TEData,14
03-1-30-901,MDTCB372-M01H-C-EG,2936,142,201,mx,30.08314000,31.64212000,-,-,-,-,-,-,-,-,-,-
03-1-30-861,MDENTY-G12H-C-EG,3961,142,201,mx,30.08716000,31.64469000,-,-,-,-,-,-,-,-,-,-
09-3-31-02,ADFNC2-M01H-BH-EG,618,1,162,cascaded,31.26625000,30.51130000,0.00,5.00,13.00,17.00,618.00,35.00,550.00,-,-,-
03-1-03-508,RETJCBN-M02H-C-EG,297,0,40,cascaded,30.01955000,31.48359000,-,-,-,-,-,-,-,-,-,-
14-2-24-27,RSGHCB27-M01H-BA-EG,196,0,59,cascaded,28.35756000,33.07522000,0.00,5.00,5.00,24.00,196.00,34.00,146.00,-,-,-
Total,221,314363,-,-,-,-,-,-,-,-,-,-,-,-,-,-
